Event ID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date
E69,Musical Poetry Slam: Rhythmic Verses,RR Campus,Ninaada,"A musical poetry slam where participants present rhythmic verses and expressions through music. The event combines poetry and music, creating a unique and artistic platform for self-expression.",Rhythmic Verses Poetry Slam Recognition,2024-02-23
E70,Dance Drama: Mythical Tales,RR Campus,Ninaada,"A dance drama performance portraying mythical tales through dance. Participants will enjoy a narrative dance production that brings to life stories from Indian mythology.",Mythical Tales Dance Drama Appreciation Certificates,2024-03-08
E71,Flute Recital: Melodic Whispers,RR Campus,Ninaada,"A flute recital featuring melodic whispers of the flute. Participants will be treated to the soothing and enchanting sounds of the flute, exploring the beauty of this classical instrument.",Melodic Whispers Flute Recital Tokens,2024-03-20
E72,Indian Folk Dance Workshop,RR Campus,Ninaada,"A workshop introducing participants to various Indian folk dance forms. Participants will learn basic steps, understand the cultural context, and experience the vibrancy of Indian folk dance.",Folk Dance Workshop Participation Certificates,2024-04-02
E73,Community Clean-Up Day,RR Campus,CSR CLUB PESU,"A day dedicated to community service through a campus clean-up initiative. Members will collaborate to enhance the cleanliness and sustainability of the campus environment.",Environmental Certificates,2023-12-08
E74,Green Initiative Workshop,RR Campus,CSR CLUB PESU,"A workshop focusing on sustainable practices and environmental conservation. Members will learn about eco-friendly habits, waste reduction, and how to contribute to a greener future.",Seedling Kits,2023-12-20
E75,Blood Donation Camp,RR Campus,CSR CLUB PESU,"A blood donation camp aimed at raising awareness about the importance of voluntary blood donation. Members and participants can contribute to saving lives through this humanitarian effort.",Donor Certificates,2024-01-02
E76,Education Drive for Underprivileged,RR Campus,CSR CLUB PESU,"An initiative to support the education of underprivileged children. Members will organize donation drives for educational materials and conduct tutoring sessions to empower young minds.",Educational Scholarships,2024-01-15
E77,Social Awareness Symposium,RR Campus,CSR CLUB PESU,"A symposium addressing key social issues and promoting awareness among the student community. Speakers and discussions will focus on fostering a sense of responsibility and empathy.",Community Engagement Certificates,2024-01-28
E78,Sustainable Lifestyle Challenge,RR Campus,CSR CLUB PESU,"A month-long challenge encouraging members to adopt sustainable lifestyle practices. Participants will earn points for eco-friendly actions, leading to prizes for the most sustainable individuals.",Sustainable Living Kits,2024-02-10
E79,Health and Wellness Camp,RR Campus,CSR CLUB PESU,"A health and wellness camp offering free health check-ups, consultations, and wellness workshops. Members will collaborate with healthcare professionals to promote holistic well-being.",Wellness Goodie Bags,2024-02-23
E80,Empowerment Seminar for Women,RR Campus,CSR CLUB PESU,"A seminar focused on empowering women through skill development, awareness programs, and inspirational talks. Members will collaborate with experts to create an inclusive and supportive environment.",Empowerment Certificates,2024-03-07
E81,Zero-Waste Challenge,RR Campus,CSR CLUB PESU,"A challenge to minimize waste generation on campus. Members will promote zero-waste practices, conduct awareness campaigns, and reward participants for their sustainable efforts.",Zero-Waste Lifestyle Kits,2024-03-20
E82,Community Art Exhibition,RR Campus,CSR CLUB PESU,"An art exhibition showcasing works created by club members that highlight social issues, sustainability, and community values. The event aims to inspire reflection and dialogue.",Art Supplies,2024-04-02
E83,Art Showcase Exhibition,RR Campus,DSGNR,"A showcase exhibition featuring the artistic creations of club members. Attendees can explore a diverse range of artworks, including paintings, sculptures, and digital art.",Art Supplies,2023-12-10
E84,Design Thinking Workshop,RR Campus,DSGNR,"A hands-on workshop focusing on design thinking principles. Participants will learn problem-solving through creative ideation, prototyping, and collaboration in a dynamic learning environment.",Design Toolkits,2023-12-22
E85,Creative Networking Mixer,RR Campus,DSGNR,"A networking event bringing together creative individuals to connect, collaborate, and share ideas. Members can engage in interactive activities to foster a supportive creative community.",Networking Opportunities,2024-01-05
E86,Interactive Digital Art Webinar,RR Campus,DSGNR,"An informative webinar exploring the world of digital art. Members will learn about digital art techniques, tools, and trends from expert speakers in the field.",Digital Art Software Licenses,2024-01-18
E87,Portfolio Review Session,RR Campus,DSGNR,"A session where members can receive constructive feedback on their portfolios. Experienced designers and artists will provide insights to help participants enhance their portfolios.",Professional Development Certificates,2024-02-01
E88,Typography and Lettering Workshop,RR Campus,DSGNR,"A workshop focused on typography and lettering techniques. Members will have the opportunity to refine their skills in creating visually appealing and impactful text designs.",Typography Kits,2024-02-14
E89,Artistic Photography Contest,RR Campus,DSGNR,"A photography contest celebrating artistic expressions through the lens. Participants can submit their creative photographs, and winners will be recognized for their unique visual storytelling.",Photography Equipment,2024-03-02
E90,Design Collaboration Challenge,RR Campus,DSGNR,"A collaborative design challenge where members work together to solve a creative problem. Teams will present their solutions, fostering teamwork and innovative thinking.",Design Collaboration Certificates,2024-03-15
E91,Color Theory Workshop,RR Campus,DSGNR,"A workshop exploring the principles of color theory in design. Members will learn about color combinations, psychology of colors, and practical applications in design projects.",Color Theory Toolsets,2024-03-28
E92,Live Art Jam Session,RR Campus,DSGNR,"A live art jam session where members can create spontaneous artworks in a collaborative setting. The event encourages creativity, experimentation, and the joy of artistic expression.",Art Jam Session Certificates,2024-04-10
E93,CodeJam: Programming Competition,RR Campus,Google Developer Student Clubs (GDSC),"A coding competition challenging participants to solve algorithmic problems and showcase their programming skills. Prizes will be awarded to top performers.",Coding Books,2023-12-08
E94,Android App Development Workshop,RR Campus,Google Developer Student Clubs (GDSC),"A workshop focusing on Android app development. Participants will learn about app architecture, UI/UX design, and implementation of key features using Google technologies.",Android Development Kits,2023-12-20
E95,Tech Talk: Introduction to Google Cloud,RR Campus,Google Developer Student Clubs (GDSC),"An informative tech talk introducing participants to Google Cloud technologies. The session will cover key concepts, services, and practical applications in cloud computing.",Google Cloud Credits,2024-01-02
E96,Hackathon: Build for a Better Future,RR Campus,Google Developer Student Clubs (GDSC),"A hackathon challenging participants to develop innovative solutions addressing real-world problems. Teams will compete to create impactful projects using Google technologies.",Hackathon Prizes,2024-01-15
E97,Web Development Bootcamp,RR Campus,Google Developer Student Clubs (GDSC),"A comprehensive bootcamp covering web development fundamentals. Participants will gain hands-on experience with front-end and back-end technologies using Google tools.",Web Development Toolsets,2024-01-28
E98,Machine Learning Showcase,RR Campus,Google Developer Student Clubs (GDSC),"A showcase event highlighting projects and applications in machine learning. Participants will explore the latest trends and advancements in machine learning technologies.",ML Tool Licenses,2024-02-10
E99,AR/VR Experience Day,RR Campus,Google Developer Student Clubs (GDSC),"An immersive experience day exploring augmented reality (AR) and virtual reality (VR) technologies. Participants can try out AR/VR applications and learn about their development.",AR/VR Gadgets,2024-02-23
E100,Google Developer Meetup,RR Campus,Google Developer Student Clubs (GDSC),"A meetup providing a platform for students to connect with Google developers, industry professionals, and fellow enthusiasts. The event will feature discussions, networking, and collaboration opportunities.",Google Swag Bags,2024-03-07
E101,Coding Workshop: Google APIs,RR Campus,Google Developer Student Clubs (GDSC),"A workshop focusing on the integration of Google APIs in coding projects. Participants will learn how to leverage various APIs to enhance their applications.",Google API Access,2024-03-20
E102,App Showcase and Demo Day,RR Campus,Google Developer Student Clubs (GDSC),"A demo day where participants can showcase their completed app projects developed during GDSC workshops. The event will celebrate achievements and encourage knowledge sharing.",App Development Certificates,2024-04-02
E103,Coding Challenge Marathon,RR Campus,HackerSpace,"A coding marathon challenging participants to solve a series of complex coding problems. The event will test problem-solving skills, coding efficiency, and collaboration among participants.",Coding Books,2023-12-08
E104,Tech Talk Series: Emerging Technologies,RR Campus,HackerSpace,"A series of tech talks focusing on emerging technologies and their impact. Industry experts and club members will share insights into the latest trends, innovations, and real-world applications.",Tech Gadgets,2023-12-20
E105,Open Source Contribution Day,RR Campus,HackerSpace,"A day dedicated to contributing to open source projects. Participants will collaborate on coding projects, fix bugs, and enhance open source software, fostering a culture of contribution.",Open Source Certificates,2024-01-02
E106,Hardware Hacking Workshop,RR Campus,HackerSpace,"A workshop exploring hardware hacking techniques. Participants will learn about hardware components, circuitry, and practical applications in creating innovative hardware projects.",Hardware Hacking Kits,2024-01-15
E107,DevOps Bootcamp,RR Campus,HackerSpace,"A comprehensive bootcamp covering DevOps principles and practices. Participants will gain hands-on experience in continuous integration, continuous deployment, and collaboration tools.",DevOps Toolsets,2024-01-28
E108,Capture The Flag (CTF) Cybersecurity Challenge,RR Campus,HackerSpace,"A cybersecurity challenge where participants engage in a simulated environment to solve security-related tasks and capture flags. Prizes will be awarded to the top cybersecurity enthusiasts.",Cybersecurity Certifications,2024-02-10
E109,AR/VR Hackathon,RR Campus,HackerSpace,"A hackathon focused on developing augmented reality (AR) and virtual reality (VR) applications. Teams will compete to create immersive experiences using AR/VR technologies.",AR/VR Gadgets,2024-02-23
E110,Startup Pitch Day,RR Campus,HackerSpace,"A platform for aspiring entrepreneurs to pitch their tech startup ideas. Participants will present their projects to a panel of judges and receive feedback and insights to refine their pitches.",Startup Incubation Opportunities,2024-03-07
E111,Data Science Symposium,RR Campus,HackerSpace,"A symposium exploring the field of data science. Participants will learn about data analysis, machine learning, and real-world applications of data science through keynote speakers and interactive sessions.",Data Science Tool Licenses,2024-03-20
E112,Game Development Showcase,RR Campus,HackerSpace,"A showcase featuring game development projects created by club members. Participants can explore a variety of games, from mobile apps to virtual reality experiences, and learn about the game development process.",Game Development Certificates,2024-04-02
E113,Debating Workshop Series,RR Campus,PES DebSoc,"A series of workshops focusing on various aspects of debating. Participants will learn and enhance their debating skills, including argumentation, persuasion, and public speaking.",Debating Handbooks,2023-12-08
E114,Inter-University Debate Tournament,RR Campus,PES DebSoc,"An inter-university debate tournament bringing together debating enthusiasts from various institutions. Teams will compete in parliamentary debates, showcasing their skills and perspectives.",Tournament Trophies,2023-12-20
E115,Public Speaking Masterclass,RR Campus,PES DebSoc,"A masterclass on public speaking techniques and effective communication. Participants will gain insights into crafting compelling speeches and presenting with confidence.",Public Speaking Certificates,2024-01-02
E116,Debate Showdown: Topic Roulette,RR Campus,PES DebSoc,"A lively debate event where participants face off on randomly selected topics. The event encourages quick thinking, adaptability, and the ability to construct arguments on the spot.",Debater Recognition Awards,2024-01-15
E117,Adjudication Training Session,RR Campus,PES DebSoc,"A training session for individuals interested in becoming debate adjudicators. Participants will learn the skills necessary to objectively assess and judge debating competitions.",Adjudication Certifications,2024-01-28
E118,Mock Parliamentary Debate,RR Campus,PES DebSoc,"A practice session simulating a parliamentary debate scenario. Participants will engage in mock debates, refining their strategies and receiving feedback from experienced debaters.",Mock Debate Winner Certificates,2024-02-10
E119,Debating Symposium on Global Issues,RR Campus,PES DebSoc,"A symposium exploring and debating global issues. Participants will engage in discussions on topics such as politics, economics, and social issues, fostering a global perspective.",Global Debater Certificates,2024-02-23
E120,Debate and Dine Social Event,RR Campus,PES DebSoc,"A social event combining debate and casual networking. Participants can enjoy debates on light-hearted topics while socializing and sharing a meal, creating a relaxed debating atmosphere.",Dinner Vouchers,2024-03-07
E121,Debater's Showcase: Best of PES DebSoc,RR Campus,PES DebSoc,"A showcase event featuring the best debating performances by club members. The event celebrates outstanding debaters and their contributions to the club.",Debater Excellence Awards,2024-03-20
E122,Parliamentary Debate Championship,RR Campus,PES DebSoc,"A championship-style debating competition where teams compete through multiple rounds of parliamentary debates. The event will determine the ultimate debating champions.",Championship Trophies,2024-04-02
E123,MUN Workshop Series,RR Campus,PES MUN Society,"A series of workshops focusing on Model United Nations (MUN) simulations. Participants will learn the art of diplomacy, public speaking, and research in the context of international relations.",MUN Handbooks,2023-12-08
E124,International Relations Symposium,RR Campus,PES MUN Society,"A symposium exploring topics in international relations, law, and policy. Participants will engage in discussions and presentations, gaining insights into global affairs and current developments.",Global Affairs Certificates,2023-12-20
E125,Debate and Diplomacy Challenge,RR Campus,PES MUN Society,"An interactive event combining debate and diplomatic simulations. Participants will face challenges that test their diplomatic skills, critical thinking, and the ability to negotiate effectively.",Diplomacy Excellence Awards,2024-01-02
E126,Policy Analysis Workshop,RR Campus,PES MUN Society,"A workshop focusing on policy analysis and formulation. Participants will learn the process of policy creation, research methodologies, and the impact of policies on international relations.",Policy Analysis Tools,2024-01-15
E127,Current Affairs Quiz Night,RR Campus,PES MUN Society,"A quiz night testing participants' knowledge of current affairs and global developments. Questions will cover international news, political events, and key issues around the world.",Quiz Winner Certificates,2024-01-28
E128,MUN Crisis Simulation,RR Campus,PES MUN Society,"A crisis simulation exercise in the style of Model United Nations. Participants will navigate through simulated international crises, applying diplomatic strategies and crisis management skills.",Crisis Management Trophies,2024-02-10
E129,United Nations Day Celebration,RR Campus,PES MUN Society,"A celebration of United Nations Day with cultural events, discussions, and presentations. The event aims to raise awareness of the UN's role in global diplomacy and cooperation.",UN Day Commemorative Items,2024-02-23
E130,International Law Seminar,RR Campus,PES MUN Society,"A seminar exploring various aspects of international law. Legal experts and scholars will discuss topics such as human rights, treaties, and the role of law in global governance.",Legal Insights Certificates,2024-03-07
E131,MUN Delegate Training Camp,RR Campus,PES MUN Society,"A training camp for MUN delegates to hone their skills in research, public speaking, and negotiation. Experienced MUN leaders will provide guidance and hands-on training.",Delegate Training Certificates,2024-03-20
E132,Model UN Conference,RR Campus,PES MUN Society,"A Model United Nations conference where participants represent different countries, simulate diplomatic discussions, and work towards resolutions on global issues. The conference aims to provide a real-life MUN experience.",Best Delegate Awards,2024-04-02
E133,Innovation Challenge,RR Campus,PES Innovation Lab,"A challenge where participants work in teams to solve carefully chosen real-world problems through innovative solutions. The event encourages creativity, problem-solving, and collaboration among students.",Innovation Certificates,2023-12-08
E134,Research Symposium,RR Campus,PES Innovation Lab,"A symposium showcasing student research projects. Participants will present their findings, engage in discussions, and gain insights into various research areas and methodologies.",Research Excellence Awards,2023-12-20
E135,Ideation Workshop,RR Campus,PES Innovation Lab,"A workshop focusing on ideation techniques and brainstorming. Participants will learn how to generate and refine innovative ideas, laying the foundation for future research projects.",Ideation Toolkits,2024-01-02
E136,Prototype Showcase Day,RR Campus,PES Innovation Lab,"A day dedicated to showcasing prototypes and projects developed by students. Participants can explore innovative solutions, interact with creators, and learn about the prototyping process.",Prototype Exhibition Certificates,2024-01-15
E137,Startup Pitch Day,RR Campus,PES Innovation Lab,"A platform for students to pitch their startup ideas. Participants will present their innovative projects to a panel of judges, receive feedback, and have the opportunity to kickstart their entrepreneurial journey.",Startup Incubation Opportunities,2024-01-28
E138,Industry Collaboration Seminar,RR Campus,PES Innovation Lab,"A seminar exploring opportunities for industry collaboration in research and innovation. Representatives from industries will share insights, discuss potential partnerships, and guide students in bridging academia and industry.",Networking Opportunities,2024-02-10
E139,Hackathon for Social Impact,RR Campus,PES Innovation Lab,"A hackathon focusing on developing technology solutions for social impact. Teams will collaborate to create innovative projects addressing societal challenges and making a positive impact.",Social Impact Hackathon Prizes,2024-02-23
E140,Research Ethics Workshop,RR Campus,PES Innovation Lab,"A workshop discussing the importance of research ethics in student projects. Participants will gain an understanding of ethical considerations and responsible research practices.",Ethics Awareness Certificates,2024-03-07
E141,Innovator's Talk Series,RR Campus,PES Innovation Lab,"A series of talks featuring successful innovators and entrepreneurs. Speakers will share their experiences, challenges, and insights into the world of innovation, inspiring students to pursue their ideas.",Innovation Insights Certificates,2024-03-20
E142,Open Innovation Forum,RR Campus,PES Innovation Lab,"A forum providing a platform for students to discuss and share innovative ideas. Participants can engage in open discussions, network with peers, and explore potential collaborations on future projects.",Open Innovation Forum Certificates,2024-04-02
E143,Entrepreneurship Bootcamp,RR Campus,PES Entrepreneurship Cell,"A comprehensive bootcamp providing aspiring entrepreneurs with the foundational knowledge and skills needed to start and grow successful businesses.",Entrepreneurship Toolkits,2023-12-08
E144,Startup Pitch Competition,RR Campus,PES Entrepreneurship Cell,"A competition where students pitch their startup ideas to a panel of judges. Participants will receive constructive feedback and have the chance to win prizes to kickstart their ventures.",Startup Funding Opportunities,2023-12-20
E145,Mentorship Mixer Event,RR Campus,PES Entrepreneurship Cell,"A networking event connecting students with experienced entrepreneurs and mentors. Participants will have the opportunity to seek guidance, advice, and build valuable connections.",Mentorship Opportunities,2024-01-02
E146,Panel Discussion on Entrepreneurship Trends,RR Campus,PES Entrepreneurship Cell,"A panel discussion featuring industry experts discussing current trends, challenges, and opportunities in the field of entrepreneurship. Participants will gain insights into the evolving landscape.",Entrepreneurial Insights Certificates,2024-01-15
E147,Innovation and Business Ideation Workshop,RR Campus,PES Entrepreneurship Cell,"A workshop focusing on generating and refining innovative business ideas. Participants will learn ideation techniques, market research, and the basics of turning ideas into viable business concepts.",Business Ideation Toolkits,2024-01-28
E148,Investor Meet and Greet,RR Campus,PES Entrepreneurship Cell,"An event connecting students with potential investors. Participants can present their business ideas, receive feedback, and explore opportunities for funding and collaboration.",Investor Networking Opportunities,2024-02-10
E149,Startup Expo and Networking Fair,RR Campus,PES Entrepreneurship Cell,"An expo showcasing startups and entrepreneurial ventures. Participants can explore various startup ideas, connect with founders, and learn about the diverse entrepreneurial ecosystem.",Networking Fair Access,2024-02-23
E150,Entrepreneurial Masterclass Series,RR Campus,PES Entrepreneurship Cell,"A series of masterclasses featuring successful entrepreneurs. Speakers will share their entrepreneurial journeys, lessons learned, and strategies for building and scaling successful ventures.",Entrepreneurial Mastery Certificates,2024-03-07
E151,Social Entrepreneurship Symposium,RR Campus,PES Entrepreneurship Cell,"A symposium focusing on the intersection of entrepreneurship and social impact. Participants will learn about social entrepreneurship, innovative business models, and how to create positive change.",Social Entrepreneurship Awards,2024-03-20
E152,Entrepreneurship Demo Day,RR Campus,PES Entrepreneurship Cell,"A demo day where students showcase their entrepreneurial projects and prototypes. The event celebrates the achievements of aspiring entrepreneurs and provides exposure to potential collaborators and investors.",Demo Day Recognition,2024-04-02
E153,Quantum Computing Basics Workshop,RR Campus,QForest,"A workshop introducing the basics of quantum computing. Participants will learn about quantum bits, quantum gates, and the fundamental principles that form the basis of quantum computation.",Quantum Computing Starter Kits,2023-12-08
E154,Quantum Programming Hackathon,RR Campus,QForest,"A hackathon challenging participants to solve problems using quantum programming languages. Participants will gain hands-on experience with quantum algorithms and software development.",Quantum Programming Books,2023-12-20
E155,Quantum Algorithms Symposium,RR Campus,QForest,"A symposium exploring advanced quantum algorithms. Experts in the field will discuss cutting-edge algorithms, their applications, and the potential impact on various industries.",Quantum Algorithms Insights Certificates,2024-01-02
E156,Quantum Hardware Showcase,RR Campus,QForest,"A showcase featuring the latest developments in quantum hardware. Participants can explore quantum processors, qubits, and other hardware components, gaining insights into the advancements in quantum computing technology.",Quantum Hardware Demonstration,2024-01-15
E157,Quantum Cryptography Seminar,RR Campus,QForest,"A seminar discussing the principles of quantum cryptography. Participants will learn about quantum key distribution and the potential of quantum technologies in enhancing cybersecurity.",Quantum Cryptography Resources,2024-01-28
E158,Quantum Machine Learning Workshop,RR Campus,QForest,"A workshop focusing on the intersection of quantum computing and machine learning. Participants will explore quantum machine learning algorithms and their applications in various domains.",Quantum ML Toolkits,2024-02-10
E159,Quantum Community Project Day,RR Campus,QForest,"A community-driven project day where members collaborate on quantum computing projects. Participants can contribute to ongoing projects, share ideas, and engage in open collaboration.",Quantum Project Collaboration Certificates,2024-02-23
E160,Quantum Technology Panel Discussion,RR Campus,QForest,"A panel discussion featuring experts in quantum technology. Panelists will discuss the current state of quantum technology, its potential impact, and future developments in the field.",Quantum Technology Panel Certificates,2024-03-07
E161,Quantum Ethics Roundtable,RR Campus,QForest,"A roundtable discussion on the ethical considerations of quantum computing. Participants will explore ethical challenges, discuss responsible development, and contribute to the ethical discourse in quantum technology.",Quantum Ethics Roundtable Certificates,2024-03-20
E162,Quantum Computing Symposium,RR Campus,QForest,"A symposium covering a broad range of topics in quantum computing. Participants will engage in discussions, learn about recent advancements, and connect with fellow quantum enthusiasts.",Quantum Enthusiast Awards,2024-04-02
E163,Coding Competition: AlgoMasters,RR Campus,The Alcoding Club,"A coding competition challenging participants to showcase their algorithmic skills. Participants will solve a series of coding problems, competing for recognition and prizes.",Coding Mastery Certificates,2023-12-08
E164,Algorithm Workshop Series,RR Campus,The Alcoding Club,"A series of workshops focusing on different algorithms and data structures. Participants will learn key concepts, problem-solving strategies, and techniques to optimize their code.",Algorithm Mastery Toolkits,2023-12-20
E165,Code Sprint: Speed Coding Challenge,RR Campus,The Alcoding Club,"A speed coding challenge where participants race against the clock to solve coding problems. The event emphasizes quick thinking, efficient coding, and problem-solving under time constraints.",Code Sprint Winner Certificates,2024-01-02
E166,Technical Interview Preparation Bootcamp,RR Campus,The Alcoding Club,"A comprehensive bootcamp preparing participants for technical interviews. The bootcamp covers common coding interview questions, problem-solving techniques, and interview strategies.",Interview Success Guidebooks,2024-01-15
E167,Codeathon for Social Impact,RR Campus,The Alcoding Club,"A codeathon focusing on developing coding solutions for social impact. Participants will work on projects addressing societal challenges, combining coding skills with a focus on making a positive impact.",Social Impact Codeathon Prizes,2024-01-28
E168,Algothon: Algorithm Hackathon,RR Campus,The Alcoding Club,"An algorithm-focused hackathon where participants work on solving complex problems using algorithms and data structures. The event encourages creativity and innovation in algorithm design.",Algothon Innovation Awards,2024-02-10
E169,Code Review and Optimization Workshop,RR Campus,The Alcoding Club,"A workshop on code review and optimization techniques. Participants will learn how to analyze and optimize code for efficiency, readability, and adherence to coding best practices.",Code Optimization Guides,2024-02-23
E170,AlgoNight: Coding Marathon,RR Campus,The Alcoding Club,"An overnight coding marathon where participants can collaborate on coding projects, engage in discussions, and immerse themselves in a coding-friendly environment.",AlgoNight Participation Certificates,2024-03-07
E171,Mock Coding Interviews,RR Campus,The Alcoding Club,"Mock coding interviews to simulate real-world technical interview scenarios. Participants will receive feedback on their performance, helping them prepare for actual coding interviews.",Interview Simulation Certificates,2024-03-20
E172,AlgoFest: Algorithm Festival,RR Campus,The Alcoding Club,"A festival celebrating algorithms and coding. The event will feature coding challenges, workshops, and interactive sessions, fostering a vibrant coding culture within the community.",AlgoFest Celebration Awards,2024-04-02
E173,Stage Play: "Drama Delight",RR Campus,The Nautanki Team,"A captivating stage play performance titled 'Drama Delight.' The event showcases the dramatic talents of the team, featuring compelling narratives, engaging characters, and theatrical excellence.",Drama Delight Trophies,2023-12-08
E174,Street Play Festival,RR Campus,The Nautanki Team,"A festival of street plays bringing drama to the outdoor spaces of the campus. Participants will perform short and impactful plays, addressing social issues and entertaining the audience.",Street Play Applause Certificates,2023-12-20
E175,Mime and Comedy Night,RR Campus,The Nautanki Team,"An evening dedicated to mime, stand-up comedy, and comedic sketches. Participants will deliver entertaining and humorous performances, showcasing the team's diverse talents in comedic arts.",Comedy Night Laughter Awards,2024-01-02
E176,Theatre Workshop Series,RR Campus,The Nautanki Team,"A series of theatre workshops covering various aspects of theatrical performance. Participants will have the opportunity to enhance their acting skills, stage presence, and understanding of dramatic arts.",Theatre Workshop Certificates,2024-01-15
E177,One-Act Play Competition,RR Campus,The Nautanki Team,"A competition where participants present one-act plays. The event encourages creativity, storytelling, and effective use of dramatic elements in a condensed theatrical format.",One-Act Play Excellence Awards,2024-01-28
E178,Comedy Sketch Showdown,RR Campus,The Nautanki Team,"A showdown featuring comedic sketches performed by the team. Participants will engage in a friendly competition to deliver the most humorous and entertaining sketches.",Sketch Showdown Humor Certificates,2024-02-10
E179,Dramatic Monologue Night,RR Campus,The Nautanki Team,"An evening dedicated to dramatic monologues. Participants will perform powerful and emotionally charged monologues, showcasing their ability to convey intense emotions through acting.",Monologue Performance Appreciation,2024-02-23
E180,Improvisational Theatre Jam,RR Campus,The Nautanki Team,"A theatrical jam session focusing on improvisational theatre. Participants will engage in spontaneous and unscripted performances, showcasing quick thinking and creativity on stage.",Theatre Jam Recognition,2024-03-07
E181,Comedy Open Mic Night,RR Campus,The Nautanki Team,"An open mic night for comedic performances. Students can showcase their stand-up comedy skills, share funny anecdotes, and engage the audience with laughter and entertainment.",Open Mic Comedy Applause,2024-03-20
E182,Grand Theatrical Showcase,RR Campus,The Nautanki Team,"A grand showcase event featuring a mix of theatrical performances, including stage plays, street plays, mime, stand-up comedy, and comedic sketches. The event celebrates the diversity of dramatic arts within the club.",Theatrical Excellence Awards,2024-04-02
E183,Photography Exhibition: "Lens Magic",RR Campus,Pixelloid,"An exhibition showcasing the photography talents of Pixelloid members. 'Lens Magic' features a diverse collection of captivating photographs, allowing participants to appreciate the art of photography.",Lens Magic Photography Awards,2023-12-08
E184,Campus Life Documentary Project,RR Campus,Pixelloid,"A documentary project capturing the essence of campus life through photography. Participants will document various events, activities, and moments on campus, creating a visual narrative of student life.",Documentary Project Recognition,2023-12-20
