EventID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date,Keywords,Topics
E11,Community Clean-Up Drive,RR Campus,Aikya,A community service event focusing on cleaning and beautifying public spaces. Participants will work together to contribute to the well-being of the community and promote a sense of responsibility.,Clean-Up Drive Participation Certificates,2023-05-07 0:00:00,"['public', 'service', 'focusing',  'cleaning', 'work', 'spaces', 'beautifying', 'promote', 'contribute', 'responsible', 'social',  'sense', 'community', 'responsibility']","[(1, 0.938769491949621)]"
E12,Youth Leadership Summit,RR Campus,Aikya,"A summit aiming to empower young individuals with leadership skills. Participants will engage in workshops, discussions, and activities to enhance their leadership potential and social responsibility.",Leadership Summit Certificates,2023-11-19 0:00:00,"[ 'enhance',  'young', 'discussions', 'workshops', 'potential', 'aiming', 'social', 'skills', 'individuals', 'responsible', 'responsibility', 'summit', 'activities', 'empower', 'leadership']","[(0, 0.2574777415693013), (1, 0.689832512566976)]"
E13,Social Awareness Campaign,RR Campus,Aikya,"A campaign to raise awareness about social issues. Participants will organize and execute initiatives to inform the community about relevant topics, fostering a sense of social responsibility among the audience.",Awareness Campaign Recognition,2024-01-02 0:00:00,"['fostering', 'audience', 'topics', 'initiatives', 'issues', 'organize',  'execute', 'campaign', 'raise', 'social', 'inform', 'relevant', 'sense', 'responsible', 'community', 'responsibility', 'awareness']","[(1, 0.9489746194674417)]"
E14,Environmental Sustainability Workshop,RR Campus,Aikya,"A workshop focusing on environmental sustainability and responsible practices. Participants will learn about eco-friendly habits, sustainable living, and how to make positive contributions to the environment.",Sustainability Workshop Certificates,2024-01-15 0:00:00,"[ 'eco', 'sustainable', 'living', 'focusing',  'sustainability', 'workshop', 'habits',  'contributions', 'friendly', 'responsible', 'environment', 'make', 'social', 'practices', 'environmental']","[(1, 0.9425963670267141)]"
E15,Blood Donation Camp,RR Campus,Aikya,"A blood donation camp in collaboration with local healthcare organizations. Participants will have the opportunity to donate blood, contributing to the well-being of those in need and promoting a sense of social responsibility.",Blood Donation Certificates,2024-01-28 0:00:00,"['donate',   'contributing', 'camp', 'blood', 'collaboration', 'need', 'local', 'social', 'organizations', 'donation', 'sense', 'healthcare', 'responsible', 'responsibility', 'promoting']","[(1, 0.9425963422697391)]"
E16,Empowerment Seminar for Youth,RR Campus,Aikya,"A seminar addressing various aspects of personal and professional empowerment for young individuals. Participants will gain insights into self-improvement, goal-setting, and building a positive mindset.",Empowerment Seminar Recognition,2024-02-10 0:00:00,"['improvement', 'addressing', 'young', 'setting', 'aspects',   'building', 'responsible', 'empowerment', 'gain', 'mindset', 'professional', 'personal', 'goal', 'various', 'insights', 'seminar', 'social', 'individuals', 'self']","[(1, 0.399802309700994), (4, 0.555279262393466)]"
E17,Global Citizenship Symposium,RR Campus,Aikya,A symposium exploring the concept of global citizenship. Participants will engage in discussions and activities aimed at fostering a sense of responsibility towards global issues and encouraging cross-cultural understanding.,Global Citizenship Symposium Certificates,2024-02-23 0:00:00,"['global', 'understanding', 'symposium', 'exploring',  'discussions', 'cross', 'responsible', 'cultural',   'encouraging', 'citizenship', 'responsibility', 'activities', 'fostering', 'issues', 'social', 'sense', 'concept']","[(0, 0.5492477201164793), (1, 0.4039169502268781)]"
E18,Youth Volunteer Fair,RR Campus,Aikya,"A fair showcasing volunteer opportunities for young individuals. Participants can explore and sign up for various volunteer initiatives, promoting active participation in community service and social responsibility.",Volunteer Fair Participation Tokens,2024-03-07 0:00:00,"['service', 'young', 'opportunities', 'showcasing',  'responsible', 'promoting', 'fair', 'sign', 'various', 'community', 'responsibility', 'volunteer', 'initiatives', 'explore', 'social', 'individuals', 'active', ]","[(0, 0.1281883596221177), (1, 0.8249763107212393)]"
E19,Community Clean-Up Day,RR Campus,CSR CLUB PESU,A day dedicated to community service through a campus clean-up initiative. Members will collaborate to enhance the cleanliness and sustainability of the campus environment.,Environmental Certificates,2023-05-08 0:00:00,"[ 'service', 'enhance', 'sustainability', 'campus', 'initiative', 'clean', 'social', 'environment', 'dedicated', 'cleanliness', 'community', 'collaborate', 'day', 'awareness']","[(1, 0.9387694927043966)]"
E20,Green Initiative Workshop,RR Campus,CSR CLUB PESU,"A workshop focusing on sustainable practices and environmental conservation. Members will learn about eco-friendly habits, waste reduction, and how to contribute to a greener future.",Seedling Kits,2023-11-20 0:00:00,"['sustainable', 'sustainability', 'habits', 'friendly', 'contribute', 'greener', 'reduction', 'awareness', 'future', 'focusing', 'workshop',   'eco', 'waste', 'conservation', 'social', 'practices', 'environmental']","[(1, 0.9489745474860823)]"
E21,Blood Donation Camp,RR Campus,CSR CLUB PESU,A blood donation camp aimed at raising awareness about the importance of voluntary blood donation. Members and participants can contribute to saving lives through this humanitarian effort.,Donor Certificates,2024-01-02 0:00:00,"['donate',   'contributing', 'camp', 'blood', 'collaboration', 'need', 'local', 'social', 'organizations', 'donation', 'sense', 'healthcare', 'responsible', 'responsibility', 'promoting']","[(1, 0.9425963422697391)]"
E22,Education Drive for Underprivileged,RR Campus,CSR CLUB PESU,An initiative to support the education of underprivileged children. Members will organize donation drives for educational materials and conduct tutoring sessions to empower young minds.,Educational Scholarships,2024-01-15 0:00:00,"['minds', 'sessions', 'young', 'sustainability', 'donation', 'organize', 'initiative', 'underprivileged', 'awareness', 'drives', 'materials', 'tutoring', 'children', 'empower',  'social', 'education', 'support', 'educational', 'conduct']","[(0, 0.47748395143866545), (1, 0.48036425187035603)]"
E23,Social Awareness Symposium,RR Campus,CSR CLUB PESU,A symposium addressing key social issues and promoting awareness among the student community. Speakers and discussions will focus on fostering a sense of responsibility and empathy.,Community Engagement Certificates,2024-01-28 0:00:00,"['fostering', 'student', 'addressing', 'issues', 'symposium', 'sustainability', 'empathy', 'speakers', 'discussions', 'social', 'key', 'sense', 'community', 'responsibility', 'focus', 'promoting', 'awareness']","[(1, 0.9489745892522775)]"
E24,Sustainable Lifestyle Challenge,RR Campus,CSR CLUB PESU,"A month-long challenge encouraging members to adopt sustainable lifestyle practices. Participants will earn points for eco-friendly actions, leading to prizes for the most sustainable individuals.",Sustainable Living Kits,2024-02-10 0:00:00,"['lifestyle', 'sustainable', 'challenge', 'points', 'sustainability', 'friendly', 'adopt',  'awareness', 'encouraging', 'eco', 'earn', 'leading',   'month-long', 'actions', 'long', 'social', 'individuals', 'practices', 'month']","[(1, 0.3510614097677092), (33, 0.6034055495491243)]"
E25,Health and Wellness Camp,RR Campus,CSR CLUB PESU,"A health and wellness camp offering free health check-ups, consultations, and wellness workshops. Members will collaborate with healthcare professionals to promote holistic well-being.",Wellness Goodie Bags,2024-02-23 0:00:00,"[ 'ups', 'consultations', 'holistic', 'sustainability', 'wellness', 'health', 'workshops', 'camp', 'promote', 'professionals', 'offering', 'free', 'social', 'healthcare', 'check', 'collaborate', 'awareness']","[(1, 0.3417104615111731), (140, 0.6073561219597667)]"
E26,Empowerment Seminar for Women,RR Campus,CSR CLUB PESU,"A seminar focused on empowering women through skill development, awareness programs, and inspirational talks. Members will collaborate with experts to create an inclusive and supportive environment.",Empowerment Certificates,2024-03-07 0:00:00,"['programs', 'sustainability', 'focused', 'talks', 'environment', 'empowering', 'development', 'skill', 'experts', 'create', 'inspirational', 'supportive', 'awareness', 'inclusive', 'women',  'seminar', 'social', 'collaborate']","[(1, 0.550043916946401), (59, 0.40174769547873523)]"
E27,Zero-Waste Challenge,RR Campus,CSR CLUB PESU,"A challenge to minimize waste generation on campus. Members will promote zero-waste practices, conduct awareness campaigns, and reward participants for their sustainable efforts.",Zero-Waste Lifestyle Kits,2024-03-20 0:00:00,"['sustainable', 'challenge',  'waste', 'zero',  'minimize', 'campus', 'campaigns', 'sustainability', 'generation', 'efforts', 'promote', 'reward', 'social', 'conduct', 'practices', 'awareness']","[(1, 0.301314660199686), (17, 0.6455495568912479)]"
E28,Community Art Exhibition,RR Campus,CSR CLUB PESU,"An art exhibition showcasing works created by club members that highlight social issues, sustainability, and community values. The event aims to inspire reflection and dialogue.",Art Supplies,2024-04-02 0:00:00,"['reflection', 'aims', 'art', 'sustainability', 'values', 'showcasing', 'inspire', 'awareness', 'created', 'dialogue', 'highlight', 'club', 'exhibition', 'community',  'works', 'issues', 'social', 'event']","[(0, 0.6039448444647436), (1, 0.3516848432289623)]"
E29,Leadership Development Workshop,RR Campus,DHRUVA Forum,"A workshop focusing on leadership development. Participants will engage in activities and discussions to enhance their leadership skills, emphasizing principles-centered leadership and cheerful leadership.",Leadership Workshop Certificates,2023-05-09 0:00:00,"['development', 'personality',  'principles', 'focusing',  'centered',  'enhance', 'leaders', 'workshop', 'discussions', 'emphasizing', 'educating', 'skills', 'cheerful', 'activities', 'leadership']","[(1, 0.4085872738114107), (3, 0.5353519687855823)]"
E30,Personality Enrichment Seminar,RR Campus,DHRUVA Forum,"A seminar aiming to enrich participants' personalities. Topics include communication skills, emotional intelligence, and personal branding to help individuals face life's challenges with confidence.",Enrichment Seminar Recognition,2023-07-11 0:00:00,"[ 'face', 'leaders', 'emotional', 'challenges', 'help', 'skills', 'development', 'personality',  'intelligence', 'confidence', 'aiming', 'educating', 'topics', 'enrich', 'personalities', 'communication', 'life', 'personal', 'include', 'seminar', 'individuals', 'branding']","[(1, 0.24810467720119886), (28, 0.71229845780385)]"
E31,Youth Empowerment Conference,RR Campus,DHRUVA Forum,"A conference empowering youth with knowledge and skills. Participants will attend talks and interactive sessions on various aspects of personal and professional development, preparing them for life's challenges.",Empowerment Conference Certificates,2024-01-02 0:00:00,"['sessions',  'leaders', 'challenges', 'talks', 'skills', 'empowering', 'aspects', 'development',  'personality',  'educating', 'professional', 'life', 'knowledge', 'personal', 'various', 'youth', 'preparing', 'conference', 'attend']","[(1, 0.21510805570301586), (11, 0.7402602389676152)]"
E32,Principles-Centered Leadership Forum,RR Campus,DHRUVA Forum,"A forum discussion on principles-centered leadership. Participants will explore the principles that guide effective leadership, discussing real-world applications and sharing insights on cheerful leadership.",Leadership Forum Participation Tokens,2024-01-15 0:00:00,"[ 'real', 'centered', 'leaders', 'discussion', 'world', 'discussing', 'cheerful', 'leadership', 'development', 'personality', 'effective',  'educating', 'forum', 'insights', 'sharing', 'principles', 'explore', 'applications', 'guide']","[(1, 0.6004739764033419), (3, 0.35467742197438606)]"
E33,Personal Growth Challenge,RR Campus,DHRUVA Forum,"A challenge encouraging participants to set and achieve personal growth goals. The event promotes self-reflection, goal-setting, and continuous improvement in various aspects of life.",Personal Growth Challenge Awards,2024-01-28 0:00:00,"['reflection', 'challenge', 'continuous', 'improvement',  'leaders', 'setting', 'aspects', 'achieve', 'development', 'personality',  'educating', 'growth', 'goals', 'life', 'promotes', 'encouraging', 'personal', 'goal', 'various', 'set',  'self']","[(4, 0.9554584387830984)]"
E34,Effective Communication Workshop,RR Campus,DHRUVA Forum,A workshop focusing on effective communication skills. Participants will learn and practice communication techniques to express themselves confidently and engage effectively with others.,Communication Workshop Certificates,2024-02-10 0:00:00,"['development', 'personality',   'focusing', 'effective',  'communication', 'confidently', 'leaders', 'practice', 'workshop', 'techniques',  'express', 'effectively', 'educating', 'skills']","[(1, 0.9387694850871864)]"
E35,Cheerful Leadership Summit,RR Campus,DHRUVA Forum,"A summit celebrating cheerful leadership. Participants will attend talks, panel discussions, and engage in activities that highlight the importance of maintaining a positive and cheerful leadership style.",Cheerful Leadership Summit Recognition,2024-02-23 0:00:00,"[ 'importance', 'celebrating', 'leaders', 'maintaining', 'talks', 'cheerful', 'leadership',  'development', 'personality',  'discussions', 'educating',  'highlight', 'activities', 'style', 'panel', 'summit', 'attend']","[(11, 0.9458788882473687)]"
E36,Art Showcase Exhibition,RR Campus,DSGNR,"A showcase exhibition featuring the artistic creations of club members. Attendees can explore a diverse range of artworks, including paintings, sculptures, and digital art.",Art Supplies,2023-09-12 0:00:00,"['art', 'paintings', 'artworks', 'including', 'sculptures', 'design', 'workshops', 'attendees', 'talent', 'artistic', 'club', 'featuring', 'creative', 'creations', 'exhibition', 'digital', 'diverse', 'range',  'explore', 'showcase']","[(1, 0.9562639491592542)]"
E37,Design Thinking Workshop,RR Campus,DSGNR,"A hands-on workshop focusing on design thinking principles. Participants will learn problem-solving through creative ideation, prototyping, and collaboration in a dynamic learning environment.",Design Toolkits,2023-12-22 0:00:00,"['thinking', 'art', 'collaboration', 'environment', 'problem',  'design', 'workshops', 'dynamic', 'solving', 'focusing', 'talent', 'artistic', 'workshop',  'prototyping', 'creative', 'hands', 'learning', 'principles', 'ideation']","[(0, 0.9537708798530379)]"
E38,Creative Networking Mixer,RR Campus,DSGNR,"A networking event bringing together creative individuals to connect, collaborate, and share ideas. Members can engage in interactive activities to foster a supportive creative community.",Networking Opportunities,2024-01-05 0:00:00,"['share', 'art', 'ideas',   'networking', 'foster', 'design', 'workshops', 'supportive',  'talent', 'artistic', 'bringing', 'connect', 'creative', 'community', 'activities',  'individuals', 'collaborate']","[(1, 0.948974585727174)]"
E39,Interactive Digital Art Webinar,RR Campus,DSGNR,"An informative webinar exploring the world of digital art. Members will learn about digital art techniques, tools, and trends from expert speakers in the field.",Digital Art Software Licenses,2024-01-18 0:00:00,"['tools', 'field', 'art', 'trends', 'informative', 'world', 'exploring', 'expert', 'design', 'speakers', 'workshops', 'webinar', 'talent', 'artistic', 'techniques',  'creative', 'digital', ]","[(0, 0.9486342759230499)]"
E40,Portfolio Review Session,RR Campus,DSGNR,A session where members can receive constructive feedback on their portfolios. Experienced designers and artists will provide insights to help participants enhance their portfolios.,Professional Development Certificates,2024-02-01 0:00:00,"['art', 'feedback', 'help', 'artists',  'design', 'workshops', 'provide', 'enhance', 'talent', 'artistic', 'constructive', 'creative', 'receive', 'insights', 'portfolios',  'session', 'designers', 'experienced']","[(1, 0.9516601609002412)]"
E41,Typography and Lettering Workshop,RR Campus,DSGNR,A workshop focused on typography and lettering techniques. Members will have the opportunity to refine their skills in creating visually appealing and impactful text designs.,Typography Kits,2024-02-14 0:00:00,"['typography', 'designs', 'art', 'impactful', 'focused', 'skills', 'refine', 'text', 'design', 'workshops', 'lettering', 'talent',  'artistic', 'workshop', 'techniques', 'creative', 'creating', 'visually',  'appealing']","[(1, 0.9540771438089021)]"
E42,Artistic Photography Contest,RR Campus,DSGNR,"A photography contest celebrating artistic expressions through the lens. Participants can submit their creative photographs, and winners will be recognized for their unique visual storytelling.",Photography Equipment,2024-03-02 0:00:00,"['photographs', 'celebrating', 'winners', 'art', 'photography',  'design', 'unique', 'storytelling', 'workshops', 'visual', 'talent', 'artistic', 'submit', 'creative', 'expressions', 'recognized', 'lens', 'contest']","[(1, 0.9516601630715524)]"
E43,Design Collaboration Challenge,RR Campus,DSGNR,"A collaborative design challenge where members work together to solve a creative problem. Teams will present their solutions, fostering teamwork and innovative thinking.",Design Collaboration Certificates,2024-03-15 0:00:00,"['thinking', 'challenge', 'art', 'collaborative', 'solve', 'teamwork', 'innovative', 'problem', 'design', 'workshops', 'teams', 'present', 'talent', 'artistic', 'work', 'creative', 'solutions',  'fostering']","[(0, 0.9513377523421591)]"
E44,Color Theory Workshop,RR Campus,DSGNR,"A workshop exploring the principles of color theory in design. Members will learn about color combinations, psychology of colors, and practical applications in design projects.",Color Theory Toolsets,2024-03-28 0:00:00,"['art', 'projects', 'theory', 'exploring', 'design', 'color', 'practical', 'combinations', 'workshops', 'psychology', 'talent', 'artistic', 'workshop',  'creative',  'principles', 'applications', 'colors']","[(0, 0.6343438944615025), (3, 0.31548401228703926)]"
E45,Live Art Jam Session,RR Campus,DSGNR,"A live art jam session where members can create spontaneous artworks in a collaborative setting. The event encourages creativity, experimentation, and the joy of artistic expression.",Art Jam Session Certificates,2024-04-10 0:00:00,"['art', 'collaborative', 'jam', 'setting', 'artworks', 'spontaneous', 'design', 'workshops', 'create',  'talent', 'artistic', 'joy', 'creative', 'expression', 'creativity', 'live',  'session', 'experimentation', 'event']","[(1, 0.4728315629675066), (36, 0.4815984010064092)]"
E46,Space Exploration Symposium,RR Campus,Equinox-The Space Club,"A symposium exploring recent advancements in space exploration. Participants will hear from experts in the field, engage in discussions, and learn about the exciting developments in Space Science and Technology.",Exploration Symposium Certificates,2023-05-10 0:00:00,"['advancements',  'experts', 'Space Science and Technology', 'exploring', 'exploration', 'field', 'symposium',  'discussions',  'recent', 'developments', 'exciting', 'space', 'science', 'hear', 'technology']","[(0, 0.21061650510300806), (1, 0.7450131825906986)]"
E47,Stargazing Night,RR Campus,Equinox-The Space Club,"An evening dedicated to stargazing and celestial observation. Participants will have the opportunity to use telescopes, learn about constellations, and appreciate the wonders of the night sky.",Stargazing Night Astronomer Certificates,2023-07-12 0:00:00,"['stargazing', 'appreciate', 'telescopes',  'observation', 'use', 'sky', 'science', 'dedicated', 'evening', 'constellations', 'celestial',  'night',  'Space Science and Technology', 'wonders', 'space', 'technology']","[(0, 0.13089230190479556), (2, 0.8241361944284011)]"
E48,Rocket Launch Challenge,RR Campus,Equinox-The Space Club,"A challenge where participants design and launch model rockets. The event promotes hands-on learning, creativity in rocket design, and an understanding of the principles of rocketry.",Rocket Launch Challenge Awards,2024-01-02 0:00:00,"['challenge', 'model', 'understanding',  'rocketry',  'design', 'science', 'rockets', 'promotes', 'launch', 'hands', 'learning', 'creativity', 'rocket', 'principles', 'Space Science and Technology', 'space', 'technology']","[(0, 0.5058283211416319), (2, 0.4513416884170668)]"
E49,Satellite Technology Workshop,RR Campus,Equinox-The Space Club,"A workshop focusing on satellite technology. Participants will gain insights into satellite design, communication, and applications, fostering knowledge about the role of satellites in space exploration.",Satellite Technology Workshop Certificates,2024-01-15 0:00:00,"['fostering', 'focusing', 'role', 'satellite',  'exploration', 'communication', 'Space Science and Technology', 'design', 'workshop', 'knowledge', 'space', 'applications', 'science', 'technology', 'gain', 'insights', 'satellites']","[(0, 0.19573358685815156), (1, 0.7641218448647257)]"
E50,Space Tech Innovations Expo,RR Campus,Equinox-The Space Club,"An exhibition showcasing innovations in Space Science and Technology. Participants will explore cutting-edge technologies, projects, and research in the field of space exploration.",Tech Innovations Expo Participation Tokens,2024-01-28 0:00:00,"['showcasing', 'edge',  'field', 'Space Science and Technology', 'projects', 'explore', 'exploration', 'innovations', 'research', 'technology', 'space', 'science', 'technology', 'cutting', 'exhibition']","[(0, 0.21217844961537138), (1, 0.7434512380783354)]"
E51,Space Quiz Challenge,RR Campus,Equinox-The Space Club,"A quiz challenge covering various aspects of space science, astronomy, and space technology. Participants will compete individually or in teams, testing their knowledge about the vast universe.",Space Quiz Challenge Trophies,2024-02-10 0:00:00,"['individually', 'challenge', 'compete', 'covering',  'Space Science and Technology', 'vast', 'quiz', 'knowledge', 'teams', 'astronomy', 'space', 'science', 'testing', 'technology', 'various', 'aspects', 'universe']","[(1, 0.552725547722892), (2, 0.4047361551955169)]"
E52,Mars Rover Design Competition,RR Campus,Equinox-The Space Club,"A competition challenging participants to design and build Mars rover prototypes. The event encourages creativity in engineering, problem-solving skills, and an understanding of space exploration challenges.",Rover Design Competition Awards,2024-02-23 0:00:00,"['build', 'challenges', 'technology', 'understanding', 'skills', 'competition', 'problem',  'design', 'mars', 'science', 'solving', 'challenging',  'prototypes', 'creativity', 'exploration', 'Space Science and Technology', 'Mars', 'rover', 'space',  'engineering']","[(0, 0.7040675860709052), (2, 0.25845616310788083)]"
E53,International Space Week Celebration,RR Campus,Equinox-The Space Club,"A week-long celebration of International Space Week. Participants will engage in activities, talks, and events highlighting the importance of space exploration and its impact on global collaboration.",Space Week Celebration Certificates,2024-03-07 0:00:00,"['highlighting', 'importance', 'global', 'International Space Week', 'international', 'talks', 'collaboration', 'week-long',  'science', 'week',  'activities', 'impact', 'celebration', 'exploration', 'Space Science and Technology', 'long', 'space', 'technology', 'events']","[(0, 0.6034720355934498), (2, 0.3605507772547048)]"
E54,Game Jam: CodeFrenzy,RR Campus,Game development club,"A game jam event challenging developers to create games within a specified time frame. Participants will showcase their coding and design skills, fostering creativity in game development.",CodeFrenzy Game Jam Awards,2023-06-08 0:00:00,"['development', 'game', 'fostering',  'games',  'time', 'coding', 'design', 'jam', 'create', 'showcase', 'skills', 'frame', 'developers', 'specified', 'creativity', 'challenging']","[(0, 0.9456128001926901)]"
E55,Unity Workshop: Basics of Game Development,RR Campus,Game development club,"A workshop introducing the basics of game development using the Unity game engine. Participants will learn about game design, coding, and the fundamentals of creating interactive experiences.",Unity Workshop Certificates,2023-07-13 0:00:00,"['using', 'Unity', 'introducing', 'game',  'development',  'design', 'create', 'experiences', 'engine', 'basics', 'workshop',  'creating', 'games', 'unity', 'coding', 'fundamentals', 'developers']","[(1, 0.9489745993814834)]"
E56,Game Design Competition,RR Campus,Game development club,"A competition where participants present their game design concepts. The event encourages creativity in game design, storytelling, and the development of innovative and engaging game concepts.",Game Design Competition Prizes,2024-01-02 0:00:00,"['development', 'game',  'present',  'games', 'design', 'concepts', 'storytelling', 'create', 'engaging', 'competition',  'developers', 'creativity', 'innovative']","[(0, 0.4457840761691776), (1, 0.49399907141514005)]"
E57,Virtual Reality Gaming Night,RR Campus,Game development club,"An event showcasing virtual reality (VR) gaming experiences. Participants will have the opportunity to experience and explore VR games, gaining insights into the future of gaming technology.",VR Gaming Night Experience Certificates,2024-01-15 0:00:00,"[ 'showcasing',  'vr', 'design', 'reality', 'create', 'experiences', 'future',  'gaining', 'virtual', 'insights', 'experience', 'games', 'explore', 'gaming', 'technology', 'developers']","[(0, 0.9456128119800351)]"
E58,Indie Game Showcase,RR Campus,Game development club,"A showcase featuring indie games developed by students. Participants will present their indie game projects, share insights into the development process, and engage with the gaming community.",Indie Game Showcase Recognition,2024-01-28 0:00:00,"['share', 'projects', 'indie', 'development', 'game',  'design', 'create',  'present', 'featuring', 'community', 'insights', 'games', 'developed', 'gaming', 'process', 'students', 'showcase', 'developers']","[(0, 0.5281890415263114), (1, 0.4274406461673953)]"
E59,Esports Tournament: GameArena,RR Campus,Game development club,"An esports tournament featuring popular multiplayer games. Participants will compete in teams or individually, showcasing their gaming skills and fostering a sense of camaraderie within the gaming community.",GameArena Esports Trophies,2024-02-10 0:00:00,"['compete', 'skills', 'multiplayer', 'camaraderie', 'showcasing',  'design', 'create', 'teams', 'individually', 'sense', 'featuring', 'esports', 'community', 'popular', 'fostering', 'games', 'gaming', 'developers', 'tournament']","[(0, 0.33780112566314824), (1, 0.25995705618586457), (37, 0.3606232453888291)]"
E60,Game Development Panel Discussion,RR Campus,Game development club,"A panel discussion featuring experienced game developers. Participants will gain insights into the game development industry, learn about career opportunities, and engage in discussions with industry professionals.",Panel Discussion Participation Certificates,2024-02-23 0:00:00,"['career', 'professionals', 'discussion', 'development', 'game', 'opportunities',  'design', 'discussions', 'create', 'gain',  'featuring',  'insights', 'games', 'industry', 'panel', 'experienced', 'developers']","[(1, 0.9489746008082887)]"
E61,CodeJam: Programming Competition,RR Campus,Google Developer Student Clubs (GDSC),A coding competition challenging participants to solve algorithmic problems and showcase their programming skills. Prizes will be awarded to top performers.,Coding Books,2023-06-09 0:00:00,"['awarded', 'Google',   'Google Developer Student Clubs', 'programming', 'coding', 'developer', 'problems', 'showcase', 'technology', 'skills', 'competition', 'solve', 'algorithmic', 'challenging', 'performers']","[(1, 0.9516601507024391)]"
